region_id,longitude,latitude,boundary
100,112.862387,24.764287,"[(112.9201535, 24.785462), (112.9201535, 24.776992), (112.90731650000001, 24.776992), (112.90731650000001, 24.785462000000003), (112.9201535, 24.785462)]"
103,112.900898,24.764287,"[(112.9201535, 24.785462), (112.93299049999999, 24.785462000000003), (112.93299049999999, 24.776992), (112.9201535, 24.776992), (112.9201535, 24.785462)]"
53,112.875224,24.730407,"[(112.93299049999999, 24.785462000000003), (112.94582750000001, 24.785462000000003), (112.94582750000001, 24.776992), (112.93299049999999, 24.776992), (112.93299049999999, 24.785462000000003)]"
171,112.952246,24.815107,"[(112.94582750000001, 24.785462000000003), (112.9586645, 24.785462), (112.9586645, 24.776992), (112.94582750000001, 24.776992), (112.94582750000001, 24.785462000000003)]"
165,112.875224,24.815107,"[(112.9586645, 24.785462), (112.9715015, 24.785462000000003), (112.9715015, 24.776992), (112.9586645, 24.776992), (112.9586645, 24.785462)]"
169,112.926572,24.815107,"[(112.98530174160649, 24.78121001718722), (112.98552086842022, 24.776992), (112.9715015, 24.776992), (112.9715015, 24.785462000000003), (112.98494145661633, 24.785462000000003), (112.98530174160649, 24.78121001718722)]"
30,112.900898,24.713467,"[(112.8394578846705, 24.793931999999998), (112.85596849999999, 24.793931999999998), (112.85596849999999, 24.785462000000003), (112.8431315, 24.785462000000003), (112.83861092900821, 24.792313306944692), (112.8394578846705, 24.793931999999998)]"
63,113.003594,24.730407,"[(112.85596849999999, 24.785462000000003), (112.85596849999999, 24.793931999999998), (112.86880550000001, 24.793931999999998), (112.86880550000001, 24.785462000000003), (112.85596849999999, 24.785462000000003)]"
98,112.97792,24.755817,"[(112.8816425, 24.793932), (112.8816425, 24.785462000000003), (112.86880550000001, 24.785462000000003), (112.86880550000001, 24.793931999999998), (112.8816425, 24.793932)]"
106,112.939409,24.764287,"[(112.89447949999999, 24.793931999999998), (112.89447949999999, 24.785462000000003), (112.8816425, 24.785462000000003), (112.8816425, 24.793932), (112.89447949999999, 24.793931999999998)]"
105,112.926572,24.764287,"[(112.90731650000001, 24.793931999999998), (112.90731650000001, 24.785462000000003), (112.89447949999999, 24.785462000000003), (112.89447949999999, 24.793931999999998), (112.90731650000001, 24.793931999999998)]"
107,112.952246,24.764287,"[(112.9201535, 24.785462), (112.90731650000001, 24.785462000000003), (112.90731650000001, 24.793931999999998), (112.9201535, 24.793931999999998), (112.9201535, 24.785462)]"
101,112.875224,24.764287,"[(112.93299049999999, 24.793931999999998), (112.93299049999999, 24.785462000000003), (112.9201535, 24.785462), (112.9201535, 24.793931999999998), (112.93299049999999, 24.793931999999998)]"
52,112.862387,24.730407,"[(112.94582750000001, 24.785462000000003), (112.93299049999999, 24.785462000000003), (112.93299049999999, 24.793931999999998), (112.94582750000001, 24.793931999999998), (112.94582750000001, 24.785462000000003)]"
55,112.900898,24.730407,"[(112.9586645, 24.793932), (112.9586645, 24.785462), (112.94582750000001, 24.785462000000003), (112.94582750000001, 24.793931999999998), (112.9586645, 24.793932)]"
